Date,Product,Category,Region,Units,Revenue
2024-06-26 18:21:47,Phone,Apparel,West,13,29350
2024-08-29 03:08:54,Phone,Electronics,West,18,95008
2024-01-31 21:39:55,Watch,Electronics,East,10,96297
2024-05-28 14:30:20,Laptop,Electronics,East,19,27351
2024-09-09 00:38:31,Watch,Apparel,South,17,90668
2024-06-05 00:24:14,Shoes,Apparel,East,19,116585
2024-03-15 01:13:06,Shoes,Electronics,South,5,148377
2024-06-01 15:07:57,Shoes,Apparel,South,9,77353
2024-01-22 15:42:08,Shoes,Electronics,South,12,209869
2024-02-18 02:14:59,Shoes,Electronics,South,1,67953
2024-05-06 16:34:57,Shirt,Apparel,South,1,59458
2024-11-07 19:07:19,Phone,Apparel,North,15,240184
2024-09-23 12:24:35,Shoes,Electronics,East,2,22358
2024-12-15 03:26:57,Laptop,Apparel,South,16,5267
2024-06-12 02:14:21,Laptop,Apparel,West,8,84745
2024-08-08 20:43:49,Laptop,Electronics,East,13,91588
2024-08-27 10:30:13,Laptop,Electronics,East,1,40513
2024-09-15 12:13:55,Shirt,Apparel,South,16,159164
2024-09-13 20:25:25,Laptop,Electronics,North,7,13338
2024-01-04 03:30:36,Shoes,Electronics,South,5,133484
2024-02-11 11:45:02,Watch,Apparel,North,3,9543
2024-11-11 12:35:29,Laptop,Electronics,West,12,107891
2024-03-25 06:36:09,Shirt,Electronics,East,16,166568
2024-08-08 19:04:11,Shirt,Apparel,West,19,62692
2024-04-09 08:49:37,Laptop,Apparel,North,5,222156
2024-08-12 22:48:41,Watch,Electronics,North,14,225992
2024-07-27 21:35:57,Laptop,Electronics,West,5,46425
2024-08-25 19:22:11,Shirt,Apparel,North,15,40756
2024-07-25 07:06:53,Phone,Apparel,West,17,20888
2024-02-05 06:27:42,Shoes,Apparel,East,14,168807
2024-11-05 14:37:02,Shirt,Apparel,West,5,49295
2024-05-07 00:13:59,Laptop,Electronics,East,12,116352
