Date,Product,Category,Region,Units,Revenue
03-03-2024 01:44,Watch,Apparel,West,5,61394
01-03-2024 06:44,Shoes,Apparel,North,7,20908
13-10-2024 21:38,Shoes,Electronics,South,16,44229
16-04-2024 19:00,Shoes,Apparel,North,10,22607
30-03-2024 07:46,Phone,Apparel,North,13,411098
24-01-2024 06:11,Watch,Electronics,West,9,99255
28-01-2024 01:01,Watch,Electronics,West,6,67811
16-07-2024 06:36,Watch,Apparel,West,1,12012
13-09-2024 21:32,Phone,Apparel,South,7,181429
08-03-2024 01:16,Phone,Apparel,North,11,329197
18-09-2024 11:10,Watch,Apparel,West,5,62590
22-09-2024 18:14,Watch,Electronics,West,9,100312
18-03-2024 12:43,Watch,Apparel,West,7,79283
23-10-2024 19:07,Watch,Apparel,North,4,52696
12-06-2024 10:13,Shoes,Apparel,East,16,43083
26-12-2024 18:06,Phone,Apparel,North,6,191642
24-04-2024 04:51,Phone,Apparel,West,14,389295
27-11-2024 00:01,Phone,Electronics,North,7,239791
13-01-2024 20:25,Shoes,Apparel,South,4,8296
16-08-2024 23:41,Watch,Apparel,East,4,40840
15-04-2024 23:33,Laptop,Apparel,South,3,113698
12-05-2024 19:15,Watch,Apparel,East,4,47944
21-04-2024 20:39,Shoes,Apparel,South,3,7127
19-01-2024 00:04,Shoes,Apparel,North,11,25063
23-09-2024 20:16,Watch,Apparel,North,6,68677
22-03-2024 02:20,Phone,Apparel,East,14,346408
21-06-2024 09:04,Watch,Apparel,West,8,104606
31-03-2024 08:38,Shoes,Apparel,East,14,39138
19-06-2024 03:39,Phone,Apparel,East,3,95202
15-03-2024 00:19,Shoes,Apparel,West,10,21502
30-05-2024 08:56,Shoes,Apparel,West,3,7815
07-07-2024 12:22,Laptop,Apparel,West,5,234087
17-08-2024 07:39,Phone,Apparel,South,17,568439
05-07-2024 22:58,Watch,Apparel,South,6,68757
31-12-2024 08:22,Watch,Apparel,North,9,91061
17-01-2024 01:11,Watch,Apparel,West,5,59991
25-02-2024 13:45,Watch,Apparel,South,4,45645
28-02-2024 00:00,Shoes,Apparel,South,8,23216
04-07-2024 10:11,Phone,Apparel,East,2,58162
17-07-2024 01:44,Watch,Apparel,North,2,26939
19-11-2024 15:25,Phone,Apparel,North,14,416576
15-11-2024 02:40,Phone,Apparel,South,2,61425
13-10-2024 12:18,Shoes,Apparel,West,4,9531
04-10-2024 05:07,Watch,Electronics,South,5,67669
30-12-2024 16:36,Shoes,Apparel,South,8,21336
27-11-2024 10:15,Watch,Apparel,North,6,77218
18-06-2024 12:08,Phone,Apparel,South,11,317820
16-08-2024 04:27,Phone,Apparel,South,17,569228
20-03-2024 10:12,Watch,Apparel,East,4,38897
12-02-2024 13:35,Shoes,Apparel,North,14,29708
20-04-2024 09:15,Watch,Apparel,South,4,45126
02-07-2024 15:55,Phone,Apparel,West,12,344176
20-11-2024 22:22,Shoes,Apparel,North,17,48761
25-04-2024 04:30,Shoes,Apparel,North,17,39138
05-08-2024 02:29,Shoes,Apparel,North,19,39825
25-02-2024 22:08,Watch,Apparel,North,4,57222
17-10-2024 20:47,Phone,Apparel,South,4,117804
15-10-2024 06:42,Phone,Apparel,South,19,638253
08-02-2024 03:46,Watch,Apparel,North,5,48324
09-11-2024 23:51,Shoes,Apparel,East,11,28731
11-04-2024 19:21,Phone,Apparel,East,10,273280
19-11-2024 23:37,Phone,Apparel,West,16,469634
03-05-2024 10:34,Shoes,Apparel,South,7,17189
16-08-2024 21:25,Phone,Apparel,South,19,677670
27-05-2024 20:06,Phone,Apparel,North,15,384792
25-12-2024 00:47,Watch,Electronics,North,8,111589
16-03-2024 18:51,Phone,Apparel,West,13,459340
05-03-2024 15:46,Phone,Electronics,East,13,454961
03-05-2024 20:28,Watch,Apparel,North,2,24791
18-01-2024 12:32,Phone,Apparel,North,12,288775
16-03-2024 01:45,Phone,Apparel,North,11,324751
16-07-2024 02:14,Shoes,Apparel,North,15,39346
06-11-2024 07:52,Shoes,Apparel,South,14,34821
16-05-2024 01:56,Watch,Apparel,West,2,27555
06-03-2024 04:49,Shoes,Apparel,North,19,50243
29-06-2024 13:44,Shoes,Apparel,East,3,8998
26-05-2024 17:10,Watch,Apparel,North,1,13613
29-06-2024 00:52,Watch,Apparel,South,8,83520
01-01-2024 05:19,Shoes,Apparel,South,8,21147
24-07-2024 16:10,Laptop,Apparel,South,1,48546
17-08-2024 01:57,Shoes,Electronics,North,13,38541
08-12-2024 12:33,Phone,Apparel,East,4,102211
25-11-2024 16:19,Shoes,Apparel,West,3,6428
28-02-2024 22:40,Watch,Apparel,North,4,51785
21-06-2024 09:52,Watch,Apparel,South,2,21020
06-02-2024 04:35,Watch,Apparel,West,5,63321
29-05-2024 08:41,Shoes,Apparel,West,15,41622
24-10-2024 15:41,Watch,Apparel,West,1,11959
10-12-2024 01:14,Laptop,Apparel,South,3,109230
16-11-2024 22:17,Shoes,Apparel,West,3,6085
17-03-2024 17:19,Watch,Apparel,South,6,58158
25-02-2024 01:17,Watch,Apparel,North,4,47802
25-11-2024 09:25,Laptop,Apparel,West,2,94310
20-08-2024 02:59,Watch,Apparel,North,4,49652
12-03-2024 17:57,Watch,Apparel,West,6,67471
13-01-2024 01:19,Watch,Apparel,North,7,74959
29-12-2024 09:40,Shoes,Apparel,South,7,16880
03-11-2024 01:21,Shoes,Apparel,East,8,20867
15-11-2024 19:02,Phone,Apparel,East,18,580689
07-02-2024 12:15,Laptop,Apparel,North,3,116234
26-10-2024 12:51,Shoes,Electronics,North,3,6556
24-07-2024 09:21,Shoes,Electronics,North,6,16923
20-09-2024 03:08,Watch,Apparel,East,8,93850
30-04-2024 04:30,Phone,Apparel,North,3,103965
07-12-2024 13:20,Watch,Apparel,South,4,52967
29-04-2024 16:05,Shoes,Apparel,East,1,2193
10-06-2024 13:10,Shoes,Apparel,North,18,47842
02-03-2024 14:27,Shoes,Apparel,West,13,34327
16-03-2024 06:52,Watch,Electronics,South,7,91263
08-06-2024 07:30,Shoes,Apparel,North,14,37672
09-08-2024 02:21,Shoes,Apparel,East,11,31317
03-08-2024 12:56,Phone,Electronics,West,10,348511
05-12-2024 08:19,Shoes,Apparel,South,18,43486
02-08-2024 13:24,Watch,Apparel,South,6,71302
02-01-2024 08:41,Phone,Apparel,West,11,334806
21-12-2024 15:55,Watch,Apparel,West,9,122258
30-08-2024 08:34,Phone,Apparel,East,16,482991
08-03-2024 17:05,Shoes,Apparel,West,17,50068
27-10-2024 06:10,Shoes,Apparel,North,7,17062
24-08-2024 11:56,Laptop,Apparel,South,5,237732
08-04-2024 17:30,Phone,Electronics,North,19,581589
08-05-2024 20:11,Phone,Apparel,East,15,374407
27-01-2024 21:32,Phone,Apparel,West,19,534923
18-01-2024 22:35,Shoes,Apparel,North,9,20449
20-09-2024 15:46,Phone,Apparel,North,3,97039
08-12-2024 21:31,Watch,Apparel,North,7,80474
13-01-2024 02:35,Shoes,Apparel,North,18,45633
01-05-2024 01:51,Shoes,Apparel,South,18,36070
14-10-2024 13:42,Watch,Apparel,South,4,46754
11-04-2024 22:30,Watch,Electronics,North,6,67094
07-02-2024 03:34,Laptop,Apparel,West,3,161422
13-07-2024 09:48,Watch,Apparel,South,5,69686
03-01-2024 15:04,Watch,Apparel,North,9,88634
13-10-2024 20:30,Watch,Apparel,West,7,71728
20-05-2024 11:02,Shoes,Electronics,South,19,44274
08-12-2024 14:44,Watch,Electronics,North,1,10986
06-10-2024 03:03,Shoes,Apparel,South,11,31149
05-05-2024 21:43,Laptop,Apparel,South,1,41197
19-07-2024 18:51,Laptop,Apparel,North,5,219482
15-01-2024 21:36,Laptop,Apparel,West,4,184701
31-03-2024 15:08,Watch,Apparel,North,9,107679
03-08-2024 17:31,Watch,Apparel,South,9,123948
02-10-2024 10:10,Watch,Apparel,West,8,100285
30-11-2024 18:42,Shoes,Apparel,North,18,48448
28-03-2024 20:43,Phone,Apparel,North,6,153227
19-12-2024 06:15,Shoes,Apparel,South,4,8059
14-02-2024 14:48,Phone,Apparel,North,16,390231
03-05-2024 05:06,Watch,Apparel,North,4,40622
25-03-2024 16:11,Shoes,Electronics,North,12,28887
16-12-2024 06:39,Watch,Apparel,West,9,96770
10-12-2024 16:54,Phone,Apparel,North,5,135229
28-05-2024 02:39,Phone,Apparel,South,13,431847
29-10-2024 18:44,Watch,Apparel,West,7,81493
22-05-2024 12:24,Laptop,Apparel,South,5,215513
20-08-2024 09:55,Laptop,Apparel,East,4,144175
06-07-2024 05:35,Watch,Apparel,North,3,31624
20-04-2024 11:35,Shoes,Apparel,West,9,19571
07-06-2024 18:03,Phone,Apparel,North,5,177544
04-07-2024 08:35,Shoes,Apparel,North,3,8061
01-01-2024 10:43,Shoes,Apparel,West,9,25340
21-04-2024 21:43,Laptop,Apparel,West,5,215517
03-07-2024 01:18,Shoes,Apparel,West,17,45333
12-04-2024 22:40,Watch,Apparel,West,1,13329
09-07-2024 10:29,Shoes,Apparel,North,16,33724
25-06-2024 04:00,Shoes,Apparel,South,19,38878
12-07-2024 06:54,Phone,Apparel,West,7,185259
13-01-2024 01:23,Shoes,Apparel,South,14,30104
01-10-2024 04:34,Shoes,Apparel,West,15,36030
12-07-2024 02:28,Watch,Electronics,North,2,26789
30-09-2024 11:46,Phone,Apparel,South,4,107767
04-09-2024 10:08,Shoes,Apparel,North,13,37498
06-10-2024 05:22,Shoes,Apparel,North,3,6647
27-07-2024 10:19,Phone,Electronics,South,4,123997
25-04-2024 17:22,Phone,Apparel,East,1,25422
31-07-2024 06:38,Laptop,Apparel,South,1,42232
15-06-2024 09:03,Watch,Apparel,South,8,94039
30-06-2024 11:40,Watch,Apparel,South,7,71395
13-07-2024 23:25,Shoes,Apparel,North,6,16043
23-12-2024 05:39,Shoes,Electronics,West,7,15024
13-03-2024 02:34,Shoes,Apparel,East,17,41746
13-08-2024 00:15,Watch,Apparel,South,5,58708
25-01-2024 14:38,Watch,Apparel,East,3,29568
18-08-2024 21:09,Shoes,Apparel,East,16,39905
07-08-2024 18:49,Phone,Apparel,West,4,137037
23-10-2024 08:05,Watch,Apparel,West,4,43324
14-12-2024 10:59,Laptop,Apparel,East,5,223261
02-06-2024 01:14,Phone,Apparel,East,2,55923
23-12-2024 06:59,Shoes,Apparel,North,17,45780
26-09-2024 05:13,Phone,Apparel,West,9,293846
10-10-2024 19:21,Watch,Apparel,East,2,20540
25-01-2024 15:57,Watch,Apparel,South,3,36715
16-04-2024 07:53,Shoes,Apparel,West,1,2436
07-10-2024 20:28,Watch,Apparel,East,7,99180
24-10-2024 16:15,Phone,Apparel,West,18,438504
18-06-2024 23:41,Shoes,Apparel,East,7,19663
25-03-2024 13:36,Phone,Electronics,South,12,291488
24-09-2024 08:38,Laptop,Apparel,South,1,51084
09-05-2024 22:35,Watch,Electronics,West,7,69559
07-11-2024 12:29,Watch,Apparel,South,8,114850
09-02-2024 15:51,Laptop,Apparel,West,5,213080
06-08-2024 21:29,Phone,Electronics,East,17,463400
01-01-2024 20:28,Shoes,Apparel,North,5,13312
10-01-2024 05:23,Shoes,Apparel,South,14,36705
24-06-2024 22:46,Shoes,Apparel,North,15,42455
01-09-2024 18:35,Shoes,Apparel,South,11,28767
02-11-2024 17:12,Laptop,Apparel,North,2,86686
28-06-2024 15:19,Shoes,Apparel,West,13,29197
19-05-2024 16:07,Phone,Apparel,North,7,180559
01-04-2024 15:50,Watch,Electronics,West,5,58070
23-10-2024 19:50,Shoes,Apparel,North,8,17018
14-02-2024 08:43,Shoes,Apparel,East,11,30665
05-05-2024 05:40,Watch,Apparel,North,6,75367
17-04-2024 03:15,Watch,Electronics,West,5,49974
10-11-2024 14:01,Laptop,Apparel,West,1,43401
25-08-2024 16:58,Shoes,Electronics,South,11,27423
03-05-2024 15:41,Shoes,Apparel,East,11,22122
25-04-2024 03:07,Shoes,Apparel,North,9,26122
17-10-2024 23:17,Watch,Electronics,North,2,20043
11-10-2024 21:16,Watch,Apparel,West,3,31948
21-03-2024 05:08,Shoes,Electronics,North,15,39532
26-03-2024 22:52,Watch,Apparel,West,9,89507
19-03-2024 21:14,Laptop,Apparel,South,2,90984
21-06-2024 16:38,Watch,Apparel,West,4,42720
10-10-2024 00:10,Laptop,Apparel,South,1,38284
25-01-2024 02:31,Watch,Apparel,North,2,20168
26-03-2024 20:55,Watch,Apparel,West,2,23529
13-01-2024 04:12,Phone,Electronics,East,5,135862
24-01-2024 19:49,Phone,Apparel,South,7,228893
23-01-2024 02:09,Phone,Apparel,South,15,484820
07-06-2024 14:27,Watch,Apparel,West,6,71497
11-03-2024 16:13,Phone,Electronics,West,1,34913
14-07-2024 16:06,Phone,Electronics,North,13,403175
27-03-2024 07:38,Laptop,Apparel,West,1,36356
20-12-2024 04:10,Shoes,Apparel,North,2,5792
13-08-2024 01:29,Shoes,Apparel,North,7,16331
23-11-2024 08:13,Shoes,Apparel,North,2,4889
08-07-2024 11:12,Laptop,Apparel,North,3,148976
03-03-2024 20:24,Shoes,Apparel,South,19,51830
23-08-2024 17:20,Laptop,Apparel,North,2,87221
13-12-2024 19:35,Shoes,Electronics,East,3,6917
03-10-2024 06:35,Shoes,Apparel,North,8,16673
07-03-2024 11:07,Shoes,Electronics,East,4,8307
30-08-2024 18:39,Laptop,Apparel,North,1,41999
01-09-2024 07:46,Phone,Apparel,South,11,293117
28-08-2024 20:52,Phone,Apparel,North,11,332126
29-12-2024 13:19,Phone,Apparel,South,19,488751
02-01-2024 20:51,Laptop,Apparel,North,5,256835
07-10-2024 13:20,Shoes,Apparel,North,1,2246
11-09-2024 19:56,Shoes,Apparel,East,16,36094
01-05-2024 08:31,Shoes,Apparel,North,18,44820
08-08-2024 17:41,Phone,Apparel,North,5,131616
21-09-2024 23:52,Watch,Apparel,North,4,42642
03-12-2024 14:54,Shoes,Apparel,West,6,13291
30-09-2024 22:54,Phone,Apparel,West,15,414979
08-12-2024 14:45,Laptop,Apparel,West,2,94631
30-10-2024 01:00,Phone,Apparel,North,1,24848
21-07-2024 07:18,Phone,Apparel,North,9,319443
21-03-2024 18:45,Laptop,Apparel,North,2,72966
01-03-2024 12:51,Watch,Apparel,South,5,60594
02-10-2024 11:27,Laptop,Apparel,East,5,198338
09-07-2024 15:42,Shoes,Apparel,South,4,10635
05-11-2024 14:28,Phone,Apparel,West,12,306460
03-08-2024 13:48,Phone,Electronics,North,14,468286
22-12-2024 06:53,Shoes,Apparel,East,19,41887
02-07-2024 19:14,Watch,Apparel,North,3,42616
23-12-2024 18:21,Watch,Electronics,North,2,22597
13-02-2024 22:46,Watch,Apparel,North,9,103040
25-07-2024 04:21,Phone,Apparel,West,3,77711
14-04-2024 06:24,Shoes,Electronics,East,1,2264
13-11-2024 09:52,Shoes,Electronics,West,18,40632
21-08-2024 20:23,Watch,Apparel,South,4,50071
17-11-2024 22:27,Shoes,Apparel,North,1,2495
05-07-2024 12:59,Laptop,Apparel,West,1,45337
02-03-2024 07:00,Laptop,Apparel,North,3,127032
02-06-2024 17:12,Watch,Apparel,East,7,81754
13-09-2024 20:05,Watch,Apparel,North,9,92602
16-06-2024 20:21,Laptop,Apparel,North,3,129564
01-10-2024 14:58,Shoes,Apparel,South,17,39902
16-08-2024 02:08,Shoes,Apparel,West,19,38719
01-09-2024 17:39,Shoes,Apparel,South,13,28772
01-06-2024 03:28,Watch,Apparel,South,6,71127
05-11-2024 11:44,Laptop,Apparel,South,5,191107
02-04-2024 13:40,Phone,Apparel,South,17,506320
02-02-2024 15:14,Laptop,Apparel,South,2,83478
27-11-2024 01:48,Shoes,Apparel,North,10,23457
12-04-2024 13:01,Shoes,Apparel,South,8,17752
21-02-2024 03:36,Watch,Apparel,South,7,100128
26-11-2024 20:45,Shoes,Apparel,North,8,21052
08-07-2024 21:00,Phone,Apparel,South,17,502196
29-11-2024 00:46,Watch,Apparel,South,2,21305
26-03-2024 17:23,Laptop,Apparel,South,2,90923
09-09-2024 16:38,Phone,Apparel,North,3,100271
02-06-2024 05:56,Phone,Apparel,West,3,74962
21-11-2024 21:23,Watch,Electronics,North,7,80181
02-11-2024 14:24,Phone,Apparel,North,13,313382
26-12-2024 03:00,Watch,Electronics,East,4,56660
10-08-2024 11:12,Watch,Apparel,East,5,51590
25-10-2024 22:40,Phone,Apparel,West,9,225661
13-11-2024 02:58,Shoes,Apparel,North,16,43212
06-02-2024 01:26,Phone,Electronics,South,15,474639
12-11-2024 19:01,Laptop,Apparel,North,4,195834
24-07-2024 04:18,Watch,Apparel,East,1,13432
23-06-2024 09:21,Watch,Apparel,North,8,82463
13-03-2024 07:51,Watch,Apparel,South,3,29206
10-06-2024 09:08,Shoes,Apparel,North,9,19438
23-08-2024 14:48,Shoes,Apparel,North,2,5422
20-06-2024 06:34,Phone,Electronics,North,16,498375
19-01-2024 06:46,Laptop,Apparel,North,4,196471
01-04-2024 19:14,Phone,Apparel,West,12,309891
26-06-2024 10:47,Phone,Apparel,West,7,198460
20-10-2024 05:36,Watch,Electronics,South,6,67994
26-05-2024 21:58,Phone,Apparel,East,1,31444
23-05-2024 21:02,Phone,Electronics,West,7,191680
01-05-2024 12:39,Shoes,Apparel,East,7,17995
16-09-2024 20:14,Shoes,Apparel,South,18,41827
09-05-2024 01:08,Phone,Apparel,South,5,121254
10-09-2024 05:24,Shoes,Electronics,North,9,26689
25-05-2024 04:04,Phone,Electronics,South,13,397708
11-01-2024 02:18,Phone,Apparel,South,10,358989
16-03-2024 03:32,Phone,Apparel,West,17,583370
14-11-2024 14:12,Phone,Apparel,West,1,26714
11-04-2024 06:27,Watch,Apparel,North,4,48480
23-06-2024 02:11,Watch,Apparel,North,4,49437
24-01-2024 17:05,Shoes,Apparel,East,11,28801
09-09-2024 08:17,Shoes,Apparel,North,19,44677
10-07-2024 14:06,Phone,Electronics,North,7,176126
27-07-2024 02:20,Phone,Apparel,North,9,229742
03-01-2024 15:09,Shoes,Apparel,North,12,27071
26-01-2024 11:41,Phone,Apparel,West,2,56644
28-11-2024 22:20,Laptop,Apparel,South,4,173463
15-11-2024 12:54,Phone,Apparel,North,14,369726
20-10-2024 17:15,Phone,Apparel,South,5,155977
15-11-2024 01:00,Watch,Apparel,North,9,102820
10-05-2024 06:49,Watch,Electronics,West,2,22085
12-04-2024 11:17,Watch,Apparel,West,2,19525
11-10-2024 09:22,Laptop,Apparel,West,4,169171
29-08-2024 17:59,Shoes,Apparel,South,2,4866
03-05-2024 14:20,Shoes,Apparel,East,1,2329
09-02-2024 01:11,Shoes,Electronics,West,12,28546
17-10-2024 21:07,Shoes,Apparel,North,1,2109
17-03-2024 15:11,Laptop,Apparel,South,4,148963
29-05-2024 02:39,Watch,Apparel,South,1,11424
21-08-2024 04:07,Laptop,Apparel,South,3,149235
11-08-2024 09:45,Laptop,Apparel,West,3,158533
27-09-2024 11:45,Laptop,Apparel,South,1,43324
01-01-2024 01:59,Phone,Apparel,North,12,393522
13-11-2024 14:16,Phone,Apparel,North,3,75272
02-08-2024 07:14,Shoes,Apparel,South,11,25838
10-06-2024 02:50,Watch,Apparel,South,9,101845
01-09-2024 12:53,Shoes,Apparel,South,3,6328
21-11-2024 20:21,Laptop,Apparel,West,4,208975
23-09-2024 09:43,Shoes,Apparel,West,9,20317
17-09-2024 05:07,Shoes,Apparel,West,19,43642
16-05-2024 17:29,Laptop,Apparel,West,4,200637
18-10-2024 08:13,Watch,Apparel,West,9,97928
29-12-2024 07:17,Watch,Apparel,North,1,10291
13-09-2024 03:51,Watch,Apparel,West,4,54300
28-01-2024 21:22,Phone,Electronics,West,16,432492
19-08-2024 12:34,Watch,Apparel,South,2,28460
14-09-2024 21:48,Laptop,Apparel,South,3,145831
14-08-2024 19:08,Laptop,Apparel,South,3,139353
01-01-2024 14:50,Laptop,Apparel,South,2,87429
04-01-2024 03:19,Phone,Electronics,South,10,268756
01-12-2024 00:41,Shoes,Electronics,West,2,4269
12-01-2024 11:09,Phone,Apparel,East,1,24974
24-09-2024 17:23,Shoes,Apparel,South,9,26144
25-05-2024 16:18,Shoes,Apparel,North,16,38790
02-03-2024 21:26,Phone,Apparel,East,19,484597
02-04-2024 23:37,Shoes,Apparel,West,11,24462
11-12-2024 05:48,Phone,Electronics,West,10,284910
05-04-2024 09:56,Shoes,Apparel,North,10,23969
12-09-2024 14:33,Shoes,Apparel,North,17,37306
06-01-2024 07:20,Shoes,Apparel,North,4,9886
15-03-2024 20:32,Phone,Electronics,West,13,401176
27-05-2024 20:23,Watch,Apparel,South,4,51915
28-09-2024 15:55,Phone,Apparel,South,14,497718
18-04-2024 05:30,Shoes,Apparel,East,19,43134
24-12-2024 18:54,Shoes,Electronics,West,2,5243
15-04-2024 14:41,Shoes,Electronics,South,5,10697
16-07-2024 12:15,Watch,Apparel,South,5,59233
20-01-2024 20:37,Phone,Apparel,North,18,579955
04-02-2024 16:34,Shoes,Apparel,North,4,11101
26-08-2024 08:04,Phone,Apparel,South,5,157974
01-02-2024 08:46,Watch,Apparel,South,4,51375
10-10-2024 02:08,Laptop,Apparel,North,4,198111
07-09-2024 00:08,Shoes,Apparel,North,15,31749
21-09-2024 19:23,Phone,Apparel,West,18,501905
15-02-2024 15:43,Shoes,Electronics,North,14,29557
18-04-2024 05:16,Laptop,Apparel,South,4,163432
04-08-2024 05:15,Shoes,Apparel,North,14,30157
01-04-2024 17:30,Shoes,Apparel,West,16,39064
08-08-2024 08:29,Laptop,Apparel,West,5,218024
19-03-2024 22:58,Watch,Apparel,West,6,68947
08-03-2024 19:44,Shoes,Electronics,West,15,30307
10-09-2024 20:15,Watch,Apparel,North,2,21428
16-01-2024 09:09,Shoes,Apparel,East,2,4885
30-11-2024 23:53,Laptop,Apparel,West,4,213280
17-03-2024 23:36,Shoes,Apparel,West,5,14544
02-12-2024 16:27,Laptop,Apparel,South,4,191254
04-11-2024 20:01,Phone,Apparel,North,18,537369
21-04-2024 06:55,Shoes,Apparel,South,6,17387
13-08-2024 03:46,Shoes,Apparel,South,3,6504
07-05-2024 08:29,Shoes,Apparel,East,2,4926
17-03-2024 17:37,Watch,Electronics,South,9,123863
27-03-2024 07:54,Watch,Apparel,South,6,72093
04-06-2024 20:34,Phone,Electronics,South,16,557975
16-04-2024 14:06,Watch,Apparel,South,8,79396
23-08-2024 21:12,Laptop,Apparel,West,4,155188
22-02-2024 03:21,Shoes,Apparel,North,18,42070
24-03-2024 10:24,Phone,Apparel,North,7,196960
01-01-2024 06:24,Shoes,Apparel,South,3,6960
19-08-2024 06:25,Watch,Apparel,North,8,80469
12-06-2024 12:31,Shoes,Apparel,North,6,17681
26-07-2024 05:11,Laptop,Apparel,South,2,96961
08-02-2024 06:17,Laptop,Apparel,West,1,41077
09-03-2024 19:57,Watch,Apparel,West,5,70171
05-11-2024 09:22,Laptop,Apparel,West,4,210321
15-03-2024 12:40,Phone,Apparel,West,12,361481
05-02-2024 01:37,Shoes,Apparel,North,13,38420
28-11-2024 20:51,Laptop,Apparel,North,2,97345
19-02-2024 08:33,Watch,Apparel,West,5,61624
19-10-2024 07:04,Shoes,Apparel,East,6,17856
21-01-2024 14:20,Watch,Electronics,West,3,38254
31-05-2024 17:57,Watch,Apparel,South,1,13101
29-03-2024 09:15,Laptop,Apparel,East,4,167422
23-02-2024 14:53,Shoes,Apparel,South,3,8631
23-03-2024 01:02,Laptop,Apparel,North,4,169556
03-04-2024 21:56,Watch,Apparel,North,4,52374
08-10-2024 06:45,Shoes,Apparel,North,16,38417
13-08-2024 19:26,Phone,Apparel,East,10,357177
23-03-2024 02:33,Shoes,Apparel,South,1,2968
10-06-2024 13:39,Shoes,Apparel,East,2,4174
10-06-2024 15:47,Shoes,Apparel,West,3,7710
21-04-2024 02:08,Phone,Apparel,West,16,386953
26-10-2024 15:06,Shoes,Apparel,West,11,23887
09-12-2024 12:30,Shoes,Electronics,North,11,25197
19-02-2024 10:24,Shoes,Apparel,North,3,6444
27-02-2024 18:01,Phone,Apparel,North,10,358458
21-01-2024 12:04,Watch,Apparel,North,2,20227
07-02-2024 09:34,Phone,Apparel,West,18,504229
26-03-2024 00:20,Shoes,Apparel,North,6,12390
28-12-2024 03:22,Shoes,Apparel,North,3,7045
22-05-2024 01:16,Watch,Apparel,West,7,77333
04-08-2024 17:58,Shoes,Electronics,North,11,24143
20-05-2024 09:21,Watch,Apparel,South,1,9695
18-09-2024 01:27,Shoes,Apparel,North,4,8791
27-12-2024 07:49,Phone,Apparel,North,5,175027
06-02-2024 13:38,Phone,Apparel,East,2,52895
04-08-2024 06:26,Laptop,Apparel,East,3,120831
12-08-2024 01:24,Laptop,Apparel,North,4,151300
03-10-2024 19:42,Shoes,Apparel,East,8,16340
15-02-2024 04:24,Watch,Apparel,West,2,21265
13-09-2024 03:16,Shoes,Apparel,West,3,6046
06-05-2024 16:24,Shoes,Electronics,North,16,34085
10-06-2024 17:02,Phone,Apparel,West,16,425102
19-07-2024 09:04,Watch,Apparel,North,9,97639
14-06-2024 02:05,Shoes,Apparel,South,10,26917
12-12-2024 04:47,Laptop,Apparel,North,1,39742
21-06-2024 00:41,Watch,Apparel,West,1,10409
24-08-2024 16:48,Watch,Apparel,North,4,52434
05-07-2024 06:58,Phone,Apparel,West,16,536722
17-02-2024 23:05,Shoes,Apparel,East,18,47745
05-12-2024 11:45,Watch,Apparel,North,4,47909
19-05-2024 09:55,Watch,Electronics,South,2,19351
02-06-2024 07:50,Phone,Apparel,West,8,275146
24-06-2024 16:51,Phone,Apparel,South,4,128348
04-04-2024 22:42,Watch,Apparel,West,2,19472
13-09-2024 23:09,Laptop,Apparel,West,5,221778
22-01-2024 14:20,Laptop,Apparel,West,4,156456
01-08-2024 00:12,Shoes,Apparel,North,13,27619
22-10-2024 15:10,Phone,Apparel,South,4,124043
